"type" "cohort" "bin" "r" "x" "t"
"101" "prenascence" "MN15" "MN12" 154 0.20952380952381 11
"102" "prenascence" "MN15" "MN13" 307 0.417687074829932 12
"103" "prenascence" "MN15" "MN14" 483 0.657142857142857 13
"104" "prenascence" "MN15" "MN15" 735 1 14
"105" "prenascence" "MN16" "MN1" 0 0 1
"106" "prenascence" "MN16" "MN2" 4 0.00411522633744856 2
"107" "prenascence" "MN16" "MN3" 6 0.00617283950617284 3
"108" "prenascence" "MN16" "MN4" 11 0.0113168724279835 4
"109" "prenascence" "MN16" "MN5" 15 0.0154320987654321 5
"110" "prenascence" "MN16" "MN6" 18 0.0185185185185185 6
"111" "prenascence" "MN16" "MN7/8" 30 0.0308641975308642 7
"112" "prenascence" "MN16" "MN9" 37 0.0380658436213992 8
"113" "prenascence" "MN16" "MN10" 51 0.0524691358024691 9
"114" "prenascence" "MN16" "MN11" 63 0.0648148148148148 10
"115" "prenascence" "MN16" "MN12" 111 0.114197530864198 11
"116" "prenascence" "MN16" "MN13" 235 0.241769547325103 12
"117" "prenascence" "MN16" "MN14" 363 0.373456790123457 13
"118" "prenascence" "MN16" "MN15" 615 0.632716049382716 14
"119" "prenascence" "MN16" "MN16" 972 1 15
"120" "prenascence" "MN17" "MN1" 0 0 1
"121" "prenascence" "MN17" "MN2" 1 0.00116009280742459 2
"122" "prenascence" "MN17" "MN3" 2 0.00232018561484919 3
"123" "prenascence" "MN17" "MN4" 4 0.00464037122969838 4
"124" "prenascence" "MN17" "MN5" 7 0.00812064965197216 5
"125" "prenascence" "MN17" "MN6" 7 0.00812064965197216 6
"126" "prenascence" "MN17" "MN7/8" 13 0.0150812064965197 7
"127" "prenascence" "MN17" "MN9" 15 0.0174013921113689 8
"128" "prenascence" "MN17" "MN10" 22 0.0255220417633411 9
"129" "prenascence" "MN17" "MN11" 26 0.0301624129930394 10
"130" "prenascence" "MN17" "MN12" 43 0.0498839907192575 11
"131" "prenascence" "MN17" "MN13" 112 0.129930394431555 12
"132" "prenascence" "MN17" "MN14" 173 0.200696055684455 13
"133" "prenascence" "MN17" "MN15" 343 0.397911832946636 14
"134" "prenascence" "MN17" "MN16" 700 0.812064965197216 15
"135" "prenascence" "MN17" "MN17" 862 1 16
"136" "prenascence" "MN18" "MN1" 0 0 1
"137" "prenascence" "MN18" "MN2" 1 0.00122100122100122 2
"138" "prenascence" "MN18" "MN3" 2 0.00244200244200244 3
"139" "prenascence" "MN18" "MN4" 4 0.00488400488400488 4
"140" "prenascence" "MN18" "MN5" 7 0.00854700854700855 5
"141" "prenascence" "MN18" "MN6" 7 0.00854700854700855 6
"142" "prenascence" "MN18" "MN7/8" 13 0.0158730158730159 7
"143" "prenascence" "MN18" "MN9" 15 0.0183150183150183 8
"144" "prenascence" "MN18" "MN10" 21 0.0256410256410256 9
"145" "prenascence" "MN18" "MN11" 24 0.0293040293040293 10
"146" "prenascence" "MN18" "MN12" 40 0.0488400488400488 11
"147" "prenascence" "MN18" "MN13" 104 0.126984126984127 12
"148" "prenascence" "MN18" "MN14" 165 0.201465201465201 13
"149" "prenascence" "MN18" "MN15" 329 0.401709401709402 14
"150" "prenascence" "MN18" "MN16" 657 0.802197802197802 15
"151" "prenascence" "MN18" "MN17" 819 1 16
"152" "prenascence" "MN18" "MN18" 819 1 17
