"type" "cohort" "bin" "r" "x" "t"
"100" "survivorship" "MN9" "MN15" 30 0.0769230769230769 14
"101" "survivorship" "MN9" "MN16" 18 0.0461538461538462 15
"102" "survivorship" "MN9" "MN17" 9 0.0230769230769231 16
"103" "survivorship" "MN9" "MN18" 9 0.0230769230769231 17
"104" "survivorship" "MN10" "MN10" 398 1 9
"105" "survivorship" "MN10" "MN11" 283 0.71105527638191 10
"106" "survivorship" "MN10" "MN12" 210 0.527638190954774 11
"107" "survivorship" "MN10" "MN13" 153 0.384422110552764 12
"108" "survivorship" "MN10" "MN14" 73 0.183417085427136 13
"109" "survivorship" "MN10" "MN15" 48 0.120603015075377 14
"110" "survivorship" "MN10" "MN16" 27 0.0678391959798995 15
"111" "survivorship" "MN10" "MN17" 12 0.0301507537688442 16
"112" "survivorship" "MN10" "MN18" 12 0.0301507537688442 17
"113" "survivorship" "MN11" "MN11" 375 1 10
"114" "survivorship" "MN11" "MN12" 302 0.805333333333333 11
"115" "survivorship" "MN11" "MN13" 203 0.541333333333333 12
"116" "survivorship" "MN11" "MN14" 82 0.218666666666667 13
"117" "survivorship" "MN11" "MN15" 53 0.141333333333333 14
"118" "survivorship" "MN11" "MN16" 30 0.08 15
"119" "survivorship" "MN11" "MN17" 13 0.0346666666666667 16
"120" "survivorship" "MN11" "MN18" 13 0.0346666666666667 17
"121" "survivorship" "MN12" "MN12" 367 1 11
"122" "survivorship" "MN12" "MN13" 268 0.730245231607629 12
"123" "survivorship" "MN12" "MN14" 108 0.294277929155313 13
"124" "survivorship" "MN12" "MN15" 73 0.198910081743869 14
"125" "survivorship" "MN12" "MN16" 37 0.100817438692098 15
"126" "survivorship" "MN12" "MN17" 15 0.0408719346049046 16
"127" "survivorship" "MN12" "MN18" 15 0.0408719346049046 17
"128" "survivorship" "MN13" "MN13" 356 1 12
"129" "survivorship" "MN13" "MN14" 196 0.550561797752809 13
"130" "survivorship" "MN13" "MN15" 122 0.342696629213483 14
"131" "survivorship" "MN13" "MN16" 71 0.199438202247191 15
"132" "survivorship" "MN13" "MN17" 35 0.098314606741573 16
"133" "survivorship" "MN13" "MN18" 35 0.098314606741573 17
"134" "survivorship" "MN14" "MN14" 308 1 13
"135" "survivorship" "MN14" "MN15" 234 0.75974025974026 14
"136" "survivorship" "MN14" "MN16" 141 0.457792207792208 15
"137" "survivorship" "MN14" "MN17" 85 0.275974025974026 16
"138" "survivorship" "MN14" "MN18" 85 0.275974025974026 17
"139" "survivorship" "MN15" "MN15" 324 1 14
"140" "survivorship" "MN15" "MN16" 231 0.712962962962963 15
"141" "survivorship" "MN15" "MN17" 153 0.472222222222222 16
"142" "survivorship" "MN15" "MN18" 153 0.472222222222222 17
"143" "survivorship" "MN16" "MN16" 355 1 15
"144" "survivorship" "MN16" "MN17" 277 0.780281690140845 16
"145" "survivorship" "MN16" "MN18" 277 0.780281690140845 17
"146" "survivorship" "MN17" "MN17" 352 1 16
"147" "survivorship" "MN17" "MN18" 352 1 17
