"type" "cohort" "bin" "r" "x" "t"
"100" "survivorship" "MN9" "MN14" 72 0.134579439252336 13
"101" "survivorship" "MN9" "MN15" 55 0.102803738317757 14
"102" "survivorship" "MN9" "MN16" 37 0.0691588785046729 15
"103" "survivorship" "MN9" "MN17" 15 0.0280373831775701 16
"104" "survivorship" "MN9" "MN18" 15 0.0280373831775701 17
"105" "survivorship" "MN10" "MN10" 557 1 9
"106" "survivorship" "MN10" "MN11" 416 0.746858168761221 10
"107" "survivorship" "MN10" "MN12" 325 0.583482944344704 11
"108" "survivorship" "MN10" "MN13" 238 0.427289048473968 12
"109" "survivorship" "MN10" "MN14" 103 0.18491921005386 13
"110" "survivorship" "MN10" "MN15" 78 0.140035906642729 14
"111" "survivorship" "MN10" "MN16" 51 0.0915619389587074 15
"112" "survivorship" "MN10" "MN17" 22 0.0394973070017953 16
"113" "survivorship" "MN10" "MN18" 21 0.0377019748653501 17
"114" "survivorship" "MN11" "MN11" 553 1 10
"115" "survivorship" "MN11" "MN12" 462 0.835443037974684 11
"116" "survivorship" "MN11" "MN13" 326 0.589511754068716 12
"117" "survivorship" "MN11" "MN14" 121 0.21880650994575 13
"118" "survivorship" "MN11" "MN15" 92 0.166365280289331 14
"119" "survivorship" "MN11" "MN16" 63 0.113924050632911 15
"120" "survivorship" "MN11" "MN17" 26 0.0470162748643761 16
"121" "survivorship" "MN11" "MN18" 24 0.0433996383363472 17
"122" "survivorship" "MN12" "MN12" 615 1 11
"123" "survivorship" "MN12" "MN13" 479 0.778861788617886 12
"124" "survivorship" "MN12" "MN14" 191 0.310569105691057 13
"125" "survivorship" "MN12" "MN15" 154 0.250406504065041 14
"126" "survivorship" "MN12" "MN16" 111 0.180487804878049 15
"127" "survivorship" "MN12" "MN17" 43 0.0699186991869919 16
"128" "survivorship" "MN12" "MN18" 40 0.0650406504065041 17
"129" "survivorship" "MN13" "MN13" 681 1 12
"130" "survivorship" "MN13" "MN14" 393 0.577092511013216 13
"131" "survivorship" "MN13" "MN15" 307 0.450807635829662 14
"132" "survivorship" "MN13" "MN16" 235 0.345080763582966 15
"133" "survivorship" "MN13" "MN17" 112 0.164464023494861 16
"134" "survivorship" "MN13" "MN18" 104 0.152716593245228 17
"135" "survivorship" "MN14" "MN14" 569 1 13
"136" "survivorship" "MN14" "MN15" 483 0.848857644991213 14
"137" "survivorship" "MN14" "MN16" 363 0.637961335676626 15
"138" "survivorship" "MN14" "MN17" 173 0.304042179261863 16
"139" "survivorship" "MN14" "MN18" 165 0.289982425307557 17
"140" "survivorship" "MN15" "MN15" 735 1 14
"141" "survivorship" "MN15" "MN16" 615 0.836734693877551 15
"142" "survivorship" "MN15" "MN17" 343 0.466666666666667 16
"143" "survivorship" "MN15" "MN18" 329 0.447619047619048 17
"144" "survivorship" "MN16" "MN16" 972 1 15
"145" "survivorship" "MN16" "MN17" 700 0.720164609053498 16
"146" "survivorship" "MN16" "MN18" 657 0.675925925925926 17
"147" "survivorship" "MN17" "MN17" 862 1 16
"148" "survivorship" "MN17" "MN18" 819 0.950116009280742 17
